S_australia_rev	S_austria_rev	S_belgium_rev	S_brazil_rev	S_bulgaria_rev	S_chile_rev	S_czechrepublic_rev	S_finland_rev	S_france_rev	S_germany_rev	S_greece_rev	S_hungary_rev	S_iceland_rev	S_italy_rev	S_lebanon_rev	S_mexico_rev	S_netherlands_rev	S_newzealand_rev	S_norway_rev	S_poland_rev	S_portugal_rev	S_singapore_rev	S_spain_rev	S_turkey_rev	S_unitedarabemirates_rev	S_unitedkingdom_rev	S_us_rev
.0499539	.0490409	.068302	.0515093	.0491727	.1352563	.0828748	.1185327	.0613512	.0449157	.0443165	.0711798	.0388199	.0712222	.029453	.0761949	.0602315	.0608764	.0975043	.0903179	.080085	.0257975	.0576016	.0827669	.0466479	.0449193	.0494113
.0372832	.0160931	.030161	.0473491	.0192046	.0247518	.0189248	.0159602	.0434524	.0174002	.0261263	.0201856	.0289643	.0196679	.0134169	.0403499	.0188784	.0452459	.0238105	.0070444	.0154201	.0709422	.0337742	.0233695	.0294688	.044651	.037786
.0132897	.0100031	.0127446	.0080891	.0164013	.0031498	.0068954	.0098064	.0174634	.0090069	.0062584	.0094628	.0232778	.0064854	.0075844	.011601	.0099426	.0175225	.0110494	.0068334	.0168149	.0185537	.0190216	.0098367	.0123035	.0163024	.0258707
.005488	.0074504	.0158762	.0023038	.0062006	.0022322	.0117016	.014202	.0295007	.0044337	.0138268	.0087726	.0313331	.0118331	.007479	.0029765	.0059872	.0145347	.0152225	.013237	.0051505	.0018603	.0124134	.0023129	.0077665	.0084692	.0090487
.0286358	.0197778	.0113533	.0047063	.0063547	.0044302	.0064427	.0140983	.0093434	.0115212	.0190252	.0186816	.0246597	.0062103	.0481144	.0138304	.0215102	.0195085	.0059516	.0107587	.0178305	.0148512	.0080491	.0122818	.0161885	.0097242	.0217699
.0266648	.0117297	.0150036	.0641762	.0249992	.0403779	.0175757	.0114726	.0228739	.0120283	.02145	.0233353	.04528	.0424778	.0237579	.060413	.0162884	.0303966	.0239155	.0071852	.0346241	.0554883	.0309278	.0228086	.0318367	.0266196	.0455921
.0142855	.0070717	.0118817	.0011275	.0109972	.0037421	.0115046	.0079393	.0145825	.0085463	.0135064	.0114923	.010751	.0134261	.0234637	.008609	.0119262	.0194287	.006595	.0186393	.0073878	.0144246	.0166281	.0245988	.0194599	.0179239	.0141205
.0106469	.0129479	.0180975	.0143915	.0043344	.0036076	.0073347	.0173022	.0217781	.0110255	.0186949	.0024726	.0075946	.0092373	.0127285	.007104	.0109417	.007262	.009837	.0078622	.0073815	.0085874	.0088085	.0211764	.0076815	.0164186	.009854
.0849007	.1041458	.050948	.0524084	.0535214	.034942	.0361404	.0701933	.0514929	.1040976	.0721143	.0943264	.0801798	.0666974	.0619685	.0364579	.0866367	.0657588	.0801385	.1137937	.060523	.0274028	.0411904	.0405535	.0544293	.0965282	.0656738
.0189592	.0022859	.0085924	.0023729	.004097	.0014645	.0014047	.009692	.0098978	.0021595	.0013907	.0009298	.0173035	.0077448	.0024076	.0025714	.0182464	.0287119	.0166539	.003909	.0066953	.0012722	.0201754	.0010284	.0027215	.0123516	.0437994
